date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:16	68/68	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20May%202024%2016:28:16%20GMT	https://ape.qromo.it/robots.txt		(from )
18:28:16	17795/17795	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20May%202024%2016:28:16%20GMT	https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--	C:/My%20Web%20Sites/ape/ape.qromo.it/order/index1cbf.html	(from )
18:28:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2001%20May%202024%2016:28:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ape/www.googletagmanager.com/gtm.05445.delayed	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:17	1240/1240	---M--	200	added ('OK')	image/png	etag:%22d2bba380bd0ca1f773cb5cf0f5cefb50%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/favicon.png	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/favicon.png	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:18	66767/66767	---M--	200	added ('OK')	application/javascript	etag:%22afd2f3ba60912889e679d7a414274e83%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/order-tfMXU90s.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/order-tfMXU90s.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:18	2776/2776	---M--	200	added ('OK')	application/javascript	etag:%22f24a8fd27b956366cc6194372041ea85%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/dates-H6YY-qjF.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/dates-H6YY-qjF.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:19	1722/1722	---M--	200	added ('OK')	application/javascript	etag:%22f408c188b0c409800a1c37cf15829dae%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppSwitch-DvNn9XTn.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppSwitch-DvNn9XTn.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:19	1739/1739	---M--	200	added ('OK')	application/javascript	etag:%22636925b99a0abd4b15066e482899ae3b%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppDropdown-sP_yurWJ.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppDropdown-sP_yurWJ.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:19	3740/3740	---M--	200	added ('OK')	application/javascript	etag:%224b5cb465e7a5950f7fc1df7f12473f17%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppSelect-25W7QIFw.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppSelect-25W7QIFw.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:20	445131/445131	---M--	200	added ('OK')	application/javascript	etag:%223948f591a4f1832c4fb0c4d0e10e5305%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/index-BX7k1nCh.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/index-BX7k1nCh.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:20	2801/2801	---M--	200	added ('OK')	application/javascript	etag:%2266e769b5992165ff05a74478bbb5980f%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppButton-CMSLQd3U.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppButton-CMSLQd3U.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:21	5064/5064	---M--	200	added ('OK')	application/javascript	etag:%22f078b0e8ca2bc3783b5b386caf4660af%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppTextInput-fA1Z5gyL.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppTextInput-fA1Z5gyL.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:21	2536/2536	---M--	200	added ('OK')	application/javascript	etag:%22d3533f2048a0e20062135e665cf48242%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppPopup-CMC3esdB.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppPopup-CMC3esdB.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:21	14349/14349	---M--	200	added ('OK')	application/javascript	etag:%22334f403dbf7aaa1616fdc6a0b5d7dc53%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppList-_nPCbBx3.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppList-_nPCbBx3.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:21	3731/3731	---M--	200	added ('OK')	application/javascript	etag:%22dbebb039eac10d5f74b9a280c411dcd4%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppBottomSheet-DvCqGTG4.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppBottomSheet-DvCqGTG4.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:22	1774/1774	---M--	200	added ('OK')	application/javascript	etag:%22ffc2a459649e1aa0dbd29730b52ac6a6%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppGlyphsExplosion-CLXr4m2D.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppGlyphsExplosion-CLXr4m2D.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:22	4501/4501	---M--	200	added ('OK')	application/javascript	etag:%22e2207fc55c76f9166ac016ecca4eabf2%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppNotification-C8rYUsl6.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppNotification-C8rYUsl6.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:23	186884/186884	---M--	200	added ('OK')	application/javascript	etag:%22baa0c7cf6961d54eabc30dc46aaac3bc%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/vue-3-sanitize-DiTbiRv2.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/vue-3-sanitize-DiTbiRv2.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:24	708/708	---M--	200	added ('OK')	application/javascript	etag:%2237c58cb76cce835e1dc2298a3687a757%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/WindowWidth-Bwh3ZodE.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/WindowWidth-Bwh3ZodE.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:24	2616/2616	---M--	200	added ('OK')	application/javascript	etag:%229be5cdd45ac0524ceac558bfd34c2893%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppInPlaceCloud-Dg08S17k.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppInPlaceCloud-Dg08S17k.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:24	3421/3421	---M--	200	added ('OK')	application/javascript	etag:%225ebf56a714400d8dbbe8bb5574fff787%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppQrImage-Ddv6PfvF.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppQrImage-Ddv6PfvF.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:24	3126/3126	---M--	200	added ('OK')	application/javascript	etag:%229044712a0f73379d95a00b471a69736d%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/ui-RdZeQpUI.js	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/ui-RdZeQpUI.js	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:25	839/839	---M--	200	added ('OK')	text/css	etag:%2226ba9b5a4e5fbcb97c791d3abd466a65%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/index-BIk96sXm.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/index-BIk96sXm.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:26	14774/14774	---M--	200	added ('OK')	text/css	etag:%22c006ff842d07841d141ccdb9c07242ef%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppList-DRxdHBFm.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppList-DRxdHBFm.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:27	3363/3363	---M--	200	added ('OK')	text/css	etag:%2279297e85afe74479ba167ab89373c5cd%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppButton-6liudjdI.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppButton-6liudjdI.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:27	1336/1336	---M--	200	added ('OK')	text/css	etag:%223632d3845de922ad08c27b98477cd1e8%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppDropdown-8Vh_t4Bq.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppDropdown-8Vh_t4Bq.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:27	2054/2054	---M--	200	added ('OK')	text/css	etag:%22c0916de9974f1d8ea5f0a266f23e88e9%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppBottomSheet-BQO4YCjd.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppBottomSheet-BQO4YCjd.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:27	9624/9624	---M--	200	added ('OK')	text/css	etag:%228ec914933aef1087dc44b2f3bc94e00f%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppGlyphsExplosion-BQ_Dz4vH.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppGlyphsExplosion-BQ_Dz4vH.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:28	2360/2360	---M--	200	added ('OK')	text/css	etag:%22c93b0d17a05976ef46b34d6a41066a1a%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppPopup-Dq7n9dnK.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/AppPopup-Dq7n9dnK.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
18:28:28	1434/1434	---M--	200	added ('OK')	text/css	etag:%225666801b7f68fc89d98890353721e9d2%22	https://qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/vue-3-sanitize--DoaCvuA.css	C:/My%20Web%20Sites/ape/qromomilan.s3.eu-south-1.amazonaws.com/dist/qromo/9ba5b9c/assets/vue-3-sanitize--DoaCvuA.css	(from https://ape.qromo.it/order/?id=PiqDMFyi2nI8xylypHXuBw--&tknTmp=oiQltdA5DEfX19zj1MMrc9sNlCMTLtdoxtreF5YVYDBFTeSjhHe4.5q.XY.bOAixGAsWrTy4W1QZhgimC26KUA--)
